"Assembly ID","Base Catalog Number","Illumina Sample Filename","ONT Sample Filename"
"49db539378ff43dc","35585","ILM3_2018AE06_35585.fastq.gz","ONG1_2018AN06_35585.fastq.gz"
"49bf96aa7ddf4d2e","VR-1592","ILM3_2020BV02_VR-1592D.fastq.gz",""
"49ba46e4395c4c1c","VR-1736","ILM2_2019AE01_VR-1736D.fastq.gz",""
"49b5d0bc61704517","10100","ILN1_2021AA25_10100.fastq.gz","ONG3_2021AA02_10100.fastq.gz"
"49abb94149be48c9","BAA-976","ILM2_2019AG02_BAA-976DX.fastq.gz","ONG2_2019DA02_BAA-976DX.fastq.gz"
"49a184adae2d44cd","VR-1804","ILM3_2020BJ06_VR-1804DQ.fastq.gz",""
"499e8b5ae6194453","33099","ILN1_2021AC19_33099.fastq.gz","ONG3_2021AQ05_33099.fastq.gz"
"4997cb42910b4695","BAA-999","ILM3_2020CX03_BAA-999.fastq.gz","ONG3_2020DO03_BAA-999.fastq.gz"
"498ebf13dc844159","BAA-1697","ILN1_2020AC07_BAA-1697.fastq.gz","ONG3_2020DJ01_BAA-1697.fastq.gz"
"497f1392f8c64937","43736","ILN1_2021AD43_43736.fastq.gz","ONG3_2021AZ06_43736.fastq.gz"
"494f94f8f5924f5b","A-2876","ILM3_2019CQ02_MYA-2876D-5.fastq.gz","ONG2_2019FJ02_MYA-2876D-5.fastq.gz"
"48e303e5acb24851","43598","ILM3_2019AK01_43598D-5.fastq.gz","ONM2_2019AC06_43598D-5.fastq.gz"
"48d8318ac5e04fe7","31623","ILM3_2020AD02_31623D-5.fastq.gz","ONG2_2019DH01_31623D-5.fastq.gz"
"48d4e6bf2c5f4527","VR-1927","ILM1_2019ZE02_VR-1927.fastq.gz",""
"48d2c8e0b5d24648","BAA-2880","ILM3_2020AM01_BAA-2880.fastq.gz","ONG2_2019AV03_BAA-2880.fastq.gz"
"4880b4d5b410444b","700562","ILN1_2021AB28_700562.fastq.gz","ONG3_2021AG03_700562.fastq.gz"
"487b487cd53b48f3","13884","ILN1_2020AB06_13884.fastq.gz","ONG3_2020DA01_13884.fastq.gz"
"485d53b8b2e34b7d","700922","ILM3_2019BD09_700922D-5.fastq.gz","ONG2_2019BE04_700922D-5.fastq.gz"
"485be92a75ce47dd","35897","ILM3_2019AI08_35897D-5.fastq.gz","ONG2_2019AL02_35897D-5.fastq.gz"
