Item Number,GCF,Illumina Filename,ONT Filename
BAA-835,GCF_017504145.1,ILM3_2018AL05_BAA-835D-5.fastq.gz,ONG2_2019BI05_BAA-835D-5.fastq.gz
33323,GCF_000014425.1,ILM3_2020AO12_33323D-5.fastq.gz,ONG2_2020BB03_33323D-5.fastq.gz
6013,GCF_001856645.1,ILM3_2019BO04_6013DX.fastq,ONG2_2019CR04_6013DX.fastq.gz
19606,GCF_014672755.1,ILM3_2018AH06_19606D-5.fastq.gz,ONG1_2018AL02_19606D-5.fastq.gz
13124,GCF_000013285.1,ILM3_2018AJ03_13124D-5.fastq.gz,ONG2_2019BI03_13124D-5.fastq.gz
43845,GCF_001969425.1,ILM3_2019BY09_43845DX.fastq.gz,ONG2_2019BS03_43845DX.fastq.gz
BAA-1790,GCF_008033255.2,ILN1_2021AB43_BAA-1790.fastq.gz,ONG3_2021AI05_BAA-1790.fastq.gz
27836,GCF_900636385.1,ILM3_2020BS06_27836.fastq.gz,ONG3_2020BO01_27836.fastq.gz
700603,GCF_001596075.2,ILM3_2019AK07_700603D-5.fastq.gz,ONM2_2019AC05_700603D-5.fastq.gz
700669,GCF_000026665.1,ILM3_2019BD08_700669D-5.fastq.gz,ONG2_2019BE03_700669D-5.fastq.gz
700345,GCF_000018285.1,ILM2_2019AK12_700345D-5.fastq.gz,ONG2_2019EB04_700345D-5.fastq.gz
BAA-149,GCF_000017305.1,ILM3_2019BM08_BAA-149D-5.fastq.gz,ONG2_2019DJ02_BAA-149D-5.fastq.gz
13880,GCF_017298675.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298895.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
6051a,GCF_000971925.1,ILM3_2018AG06_6051a.fastq.gz,ONG1_2019AO07_6051a.fastq.gz
33209,GCF_000018885.1,ILM3_2019AT02_33209D-5.fastq.gz,ONG2_2019BD01_33209D-5.fastq.gz
13525,GCF_900215245.1,ILM3_2019AR06_13525DX.fastq.gz,ONG2_2019BR05_13525DX.fastq.gz
BAA-895,GCF_000018045.1,ILM3_2019BJ09_BAA-895D-5.fastq.gz,ONG2_2019CT01_BAA-895D-5.fastq.gz
31821,GCF_000007105.1,ILM3_2018AK07_31821D-5.fastq.gz,ONG2_2019BH03_31821D-5.fastq.gz
700388,GCF_000012365.1,ILM3_2019AH06_700388D-5.fastq.gz,ONG2_2019AG02_700388D-5.fastq.gz
6462,GCF_000832605.1,ILM2_2018AE10_6462.fastq.gz,ONG1_2018AK02_6462.fastq.gz
19436,GCF_900475595.1,ILM2_2019AG09_19436DX.fastq.gz,ONG2_2019CY02_19436DX.fastq.gz
19258,GCF_010120595.1,ILM3_2019BT01_19258DX.fastq,ONG2_2019DC03_19258DX.fastq.gz
27774,GCF_000022125.1,ILM3_2019AG07_27774D-5.fastq,ONG2_2019BM04_27774D-5.fastq.gz
6013,GCF_000807255.1,ILM3_2019BO04_6013DX.fastq,ONG2_2019CR04_6013DX.fastq.gz
29543,GCF_900637325.1,ILM3_2019CJ11_29543D-5.fastq.gz,ONG2_2019EF04_29543D-5.fastq.gz
13880,GCF_017301295.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
49275,GCF_005221305.1,ILM3_2020CF03_49275.fastq.gz,ONG3_2020BQ01_49275.fastq.gz
13880,GCF_017301255.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
23726,GCF_003019785.1,ILN1_2021AC10_23726.fastq.gz,ONG3_2021AP02_23726.fastq.gz
13880,GCF_017298955.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017299315.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
8482,GCF_000012825.1,ILM3_2018AL07_8482D-5.fastq.gz,ONG2_2019BJ01_8482D-5.fastq.gz
33386,GCF_000024405.1,ILM3_2019CP05_33386D-5.fastq.gz,ONG2_2019EL05_33386D-5.fastq.gz
13880,GCF_017298995.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
12478,GCF_000157895.3,ILM3_2019CV05_12478DX.fastq.gz,ONG2_2019EX02_12478DX.fastq.gz
BAA-1581,GCF_000251025.1,ILM3_2019CL11_BAA-1581D-5.fastq.gz,ONG2_2019EJ04_BAA-1581D-5.fastq.gz
13311,GCF_000743055.1,ILM3_2019AF03_13311D-5.fastq.gz,ONG2_2019AA04_13311D-5.fastq.gz
19615,GCF_000743015.1,ILM3_2018AJ06_19615D-5.fastq.gz,ONG2_2019BG01_19615D-5.fastq.gz
4342,GCF_000161015.1,ILM2_2018AE02_4342.fastq.gz,ONG1_2018AJ02_4342.fastq.gz
43504,GCF_004295525.1,ILM3_2018AC05_43504D-5.fastq.gz,ONM1_2018AB01_43504D-5.fastq.gz
484,GCF_900637695.1,ILN1_2021AA08_484.fastq.gz,ONG3_2020DT04_484.fastq.gz
